,No of Datapoints
CP_C_A_CCW_1,143
CP_C_A_CCW_2,119
CP_C_A_CCW_3,119
CP_C_A_CW_1,122
CP_C_A_CW_2,118
CP_C_A_CW_3,128
CP_C_F_CCW_1,170
CP_C_F_CCW_2,166
CP_C_F_CCW_3,123
CP_C_F_CW_1,132
CP_C_F_CW_2,134
CP_C_F_CW_3,137
CP_C_F_CW_4,105
DL_C_A_BRTL_1,40
DL_C_A_BRTL_2,59
DL_C_A_BRTL_3,54
DL_C_A_TLBR_1,75
DL_C_A_TLBR_2,47
DL_C_A_TLBR_3,51
DL_C_F_BRTL_1,61
DL_C_F_BRTL_2,43
DL_C_F_BRTL_3,58
DL_C_F_BRTL_4,58
DL_C_F_BRTL_5,55
DL_C_F_BRTL_6,84
DL_C_F_TLBR_1,79
DL_C_F_TLBR_2,63
DL_C_F_TLBR_3,66
DL_C_F_TLBR_4,80
DL_C_F_TLBR_5,55
DL_C_F_TLBR_6,71
HL_C_A_LR_1,53
HL_C_A_LR_2,53
HL_C_A_LR_3,59
HL_C_A_RL_1,55
HL_C_A_RL_2,56
HL_C_A_RL_3,64
HL_C_F_LR_1,69
HL_C_F_LR_2,70
HL_C_F_LR_3,57
HL_C_F_LR_4,81
HL_C_F_LR_5,63
HL_C_F_LR_6,87
HL_C_F_RL_1,66
HL_C_F_RL_2,63
HL_C_F_RL_3,49
HL_C_F_RL_4,90
HL_C_F_RL_5,61
HL_C_F_RL_6,79
IL_C_A_RCCW_1,171
IL_C_A_RCCW_2,175
IL_C_A_RCCW_3,215
IL_C_A_RCW_1,157
IL_C_A_RCW_2,175
IL_C_A_RCW_3,213
IL_C_F_RCCW_1,217
IL_C_F_RCCW_2,233
IL_C_F_RCCW_3,233
IL_C_F_RCW_1,148
IL_C_F_RCW_2,192
IL_C_F_RCW_3,191
IL_C_F_RCW_4,178
SP_C_A_CCW_1,148
SP_C_A_CCW_2,162
SP_C_A_CCW_3,200
SP_C_A_CW_1,153
SP_C_A_CW_2,225
SP_C_A_CW_3,188
SP_C_F_CCW_1,229
SP_C_F_CCW_2,157
SP_C_F_CCW_3,192
SP_C_F_CW_1,202
SP_C_F_CW_2,175
SP_C_F_CW_3,172
VL_C_A_BU_1,39
VL_C_A_BU_2,27
VL_C_A_BU_3,26
VL_C_A_TD_1,40
VL_C_A_TD_2,35
VL_C_A_TD_3,51
VL_C_F_BU_1,54
VL_C_F_BU_2,48
VL_C_F_BU_3,51
VL_C_F_BU_4,35
VL_C_F_BU_5,40
VL_C_F_BU_6,44
VL_C_F_TD_1,39
VL_C_F_TD_2,49
VL_C_F_TD_3,58
VL_C_F_TD_4,45
VL_C_F_TD_5,39
VL_C_F_TD_6,63
